old_id,new_id
BBEAR_00001970,PB.43.6
BBEAR_00001971,PB.43.7
BBEAR_00001973,PB.43.8
BBEAR_00001972,PB.43.9
BBEAR_00000129,PB.43.10
BBEAR_00001975,PB.43.11
BBEAR_00001974,PB.43.12
BBEAR_00001976,PB.43.13
BBEAR_00001977,PB.43.14
BBEAR_00001979,PB.43.15
BBEAR_00001978,PB.43.16
BBEAR_00001985,PB.43.17
BBEAR_00001982,PB.43.18
BBEAR_00001983,PB.43.19
BBEAR_00001984,PB.43.20
BBEAR_00001981,PB.43.21
BBEAR_00001980,PB.43.22
BBEAR_00001986,PB.43.23
BBEAR_00000130,PB.43.24
BBEAR_00001987,PB.43.25
BBEAR_00001988,PB.43.26
BBEAR_00001989,PB.43.27
BBEAR_00001990,PB.43.28
BBEAR_00001991,PB.43.29
BBEAR_00001992,PB.43.30
BBEAR_00001993,PB.43.31
BBEAR_00001994,PB.43.32
BBEAR_00001995,PB.43.33
BBEAR_00001996,PB.43.34
BBEAR_00001997,PB.43.35
BBEAR_00000131,PB.44.1
BBEAR_00000132,PB.45.1
BBEAR_00001999,PB.45.2
BBEAR_00001998,PB.45.3
BBEAR_00000133,PB.45.4
BBEAR_00000134,PB.46.1
BBEAR_00000135,PB.47.1
BBEAR_00000136,PB.48.1
BBEAR_00000137,PB.48.2
BBEAR_00000138,PB.49.1
BBEAR_00000139,PB.50.1
BBEAR_00000140,PB.51.1
BBEAR_00000141,PB.52.1
BBEAR_00000144,PB.53.1
BBEAR_00000143,PB.53.2
BBEAR_00000142,PB.53.3
BBEAR_00002000,PB.53.4
BBEAR_00000147,PB.54.1
BBEAR_00000146,PB.54.2
BBEAR_00000145,PB.54.3
BBEAR_00000148,PB.55.1
BBEAR_00000149,PB.56.1
BBEAR_00002001,PB.56.2
BBEAR_00002002,PB.56.3
BBEAR_00000150,PB.57.1
BBEAR_00000151,PB.57.2
BBEAR_00000152,PB.57.3
BBEAR_00000153,PB.57.4
BBEAR_00000155,PB.57.5
BBEAR_00000154,PB.57.6
BBEAR_00000156,PB.58.1
BBEAR_00000157,PB.59.1
BBEAR_00000158,PB.60.1
BBEAR_00000159,PB.60.2
